Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,14,9,23,2.81,32,32,0,0,,200,160,68,62,20,44,0,7,242,10.92,1.96,5.56,0.92,0.30,0.214,1.02,0.29,0.77,0.42,,2.79,5.86,5.80,6.50,1149.00,5.75,1071.00,5.36,4.10,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,Tarik Skubal,22267.00,669373.00
Logan Webb,SFG,12,11,21,3.32,32,32,0,0,,199,194,82,74,17,47,1,6,187,8.45,2.12,3.99,0.76,0.23,0.249,1.21,0.31,0.73,0.55,,3.15,4.06,3.91,55.689998626708984,974.1000000000003,4.894974874371861,989.00,4.969849246231155,4.80,4.35,4.05,3.81,3.60,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,Logan Webb,17995.00,657277.00
Cristopher Sánchez,PHI,13,9,21,3.16,32,32,0,0,,198,183,77,69,18,50,0,7,192,8.74,2.27,3.85,0.80,0.24,0.243,1.18,0.30,0.75,0.54,,3.21,4.69,5.10,29.38,981.00,4.954545454545454,969.00,4.893939393939394,4.61,4.16,3.87,3.63,3.42,3.23,3.03,2.82,2.54,4.03,3.84,3.70,3.59,3.50,3.40,3.30,3.19,3.03,Cristopher Sanchez,20778.00,650911.00
Bryan Woo,SEA,12,11,19,3.59,32,32,0,0,,195,176,84,78,26,44,1,8,196,9.04,2.03,4.45,1.21,0.24,0.235,1.13,0.28,0.74,0.39,,3.66,3.29,2.93,41.310001373291016,901.60,4.6235897435897435,873.00,4.476923076923077,5.05,4.57,4.26,4.01,3.78,3.57,3.36,3.13,2.83,4.46,4.24,4.09,3.97,3.86,3.75,3.63,3.51,3.34,Bryan Woo,30279.00,693433.00
Paul Skenes,PIT,13,9,21,2.92,32,32,0,0,,194,158,69,63,18,52,1,7,237,11.00,2.39,4.60,0.81,0.30,0.218,1.08,0.30,0.76,0.44,,2.77,5.70,5.74,10.00,1100.40,5.6721649484536085,1033.00,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.54,3.40,3.29,3.18,3.08,2.98,2.86,2.70,Paul Skenes,33677.00,694973.00
Garrett Crochet,BOS,14,9,21,3.01,32,32,0,0,,193,157,71,65,20,50,0,6,239,11.14,2.32,4.80,0.91,0.31,0.219,1.07,0.30,0.76,0.46,,2.84,5.59,5.38,10.69,1084.00,5.616580310880829,1015.00,5.259067357512953,4.38,3.93,3.64,3.40,3.20,3.01,2.81,2.60,2.34,3.83,3.63,3.49,3.37,3.27,3.17,3.07,2.95,2.80,Garrett Crochet,27463.00,676979.00
Zac Gallen,,11,12,16,4.22,32,32,0,0,,191,190,97,90,26,62,1,7,182,8.55,2.91,2.94,1.24,0.22,0.252,1.32,0.30,0.72,0.42,,4.10,2.34,2.19,216.25,756.6000000000001,3.9612565445026187,774.00,4.052356020942408,5.78,5.29,4.96,4.69,4.45,4.23,4.00,3.75,3.43,5.11,4.90,4.76,4.64,4.53,4.42,4.31,4.18,4.01,Zac Gallen,19291.00,668678.00
Nick Pivetta,SDP,12,11,17,3.96,32,32,0,0,,191,170,90,84,29,59,1,6,210,9.89,2.77,3.57,1.39,0.26,0.232,1.20,0.29,0.74,0.34,,3.95,2.87,2.69,88.12999725341797,839.70,4.396335078534031,803.00,4.204188481675392,5.43,4.94,4.62,4.36,4.13,3.91,3.69,3.45,3.14,4.79,4.58,4.43,4.31,4.20,4.09,3.98,3.85,3.68,Nick Pivetta,15454.00,601713.00
Framber Valdez,,12,10,19,3.47,31,31,0,0,,190,180,81,73,16,63,0,8,179,8.44,2.96,2.85,0.76,0.22,0.249,1.28,0.31,0.73,0.56,,3.47,3.72,3.81,95.80999755859375,886.20,4.66,887.00,4.668421052631579,5.00,4.53,4.22,3.97,3.75,3.55,3.34,3.11,2.82,4.36,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,Framber Valdez,17295.00,664285.00
Max Fried,NYY,13,9,19,3.34,31,31,0,0,,189,178,78,70,19,54,1,7,179,8.50,2.59,3.29,0.90,0.23,0.244,1.23,0.30,0.75,0.51,,3.52,3.65,3.71,58.689998626708984,877.1000000000001,4.640740740740742,873.00,4.619047619047619,4.83,4.37,4.06,3.81,3.60,3.40,3.19,2.97,2.68,4.22,4.02,3.89,3.78,3.67,3.58,3.47,3.36,3.20,Max Fried,13743.00,608331.00
Sandy Alcantara,MIA,10,12,16,4.15,31,31,0,0,,187,189,93,86,22,56,1,8,159,7.65,2.70,2.83,1.07,0.20,0.259,1.31,0.30,0.71,0.47,,4.01,2.51,2.57,157.50,747.7999999999998,3.9989304812834217,775.00,4.144385026737968,5.77,5.26,4.92,4.65,4.40,4.17,3.94,3.69,3.36,5.12,4.89,4.73,4.60,4.48,4.36,4.24,4.10,3.91,Sandy Alcantara,18684.00,645261.00
Kevin Gausman,TOR,11,10,16,4.05,31,31,0,0,,185,178,90,83,26,55,1,4,181,8.76,2.65,3.30,1.25,0.23,0.245,1.25,0.29,0.73,0.38,,3.95,2.83,2.21,116.12999725341797,771.4000000000001,4.17,772.00,4.172972972972973,5.58,5.09,4.76,4.49,4.26,4.04,3.82,3.57,3.25,4.90,4.70,4.56,4.44,4.34,4.23,4.13,4.00,3.84,Kevin Gausman,14107.00,592332.00
Merrill Kelly,ARI,11,11,16,4.15,31,31,0,0,,185,186,92,85,24,57,1,5,169,8.23,2.76,2.99,1.16,0.21,0.256,1.31,0.30,0.72,0.42,,3.99,2.48,2.51,229.1300048828125,742.1999999999999,4.011891891891891,765.00,4.135135135135135,5.74,5.23,4.89,4.62,4.38,4.15,3.92,3.67,3.34,5.07,4.85,4.70,4.57,4.46,4.34,4.23,4.09,3.91,Merrill Kelly,11156.00,518876.00
Dylan Cease,TOR,12,10,17,3.61,32,32,0,0,,185,157,80,74,22,68,1,6,216,10.52,3.29,3.20,1.09,0.28,0.223,1.22,0.29,0.75,0.38,,3.57,3.80,3.27,69.55999755859375,900.20,4.865945945945946,849.00,4.589189189189189,5.07,4.59,4.28,4.02,3.80,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.40,Dylan Cease,18525.00,656302.00
Jacob deGrom,TEX,12,10,18,3.48,31,31,0,0,,185,160,77,71,25,42,0,6,214,10.43,2.05,5.09,1.20,0.28,0.226,1.09,0.29,0.75,0.38,,3.33,4.31,3.71,44.44,929.50,5.024324324324325,884.00,4.778378378378378,4.96,4.46,4.13,3.87,3.64,3.42,3.21,2.97,2.67,4.38,4.14,3.97,3.84,3.72,3.60,3.47,3.34,3.15,Jacob deGrom,10954.00,594798.00
Hunter Brown,HOU,12,10,18,3.63,31,31,0,0,,184,165,81,74,21,61,1,7,200,9.77,2.98,3.28,1.02,0.26,0.235,1.23,0.30,0.74,0.47,,3.55,3.59,3.29,38.00,870.3000000000002,4.729891304347827,843.00,4.581521739130435,5.16,4.67,4.35,4.09,3.86,3.65,3.43,3.20,2.89,4.52,4.31,4.17,4.05,3.94,3.84,3.73,3.60,3.44,Hunter Brown,25880.00,686613.00
Kyle Freeland,COL,9,14,12,5.14,32,32,0,0,,184,215,112,105,31,49,1,7,137,6.70,2.38,2.82,1.51,0.17,0.287,1.44,0.32,0.69,0.41,,4.73,1.67,1.75,745.1900024414062,527.3000000000002,2.8657608695652184,623.00,3.385869565217391,6.84,6.30,5.94,5.64,5.38,5.13,4.88,4.60,4.24,6.13,5.89,5.72,5.58,5.45,5.33,5.20,5.05,4.85,Kyle Freeland,16256.00,607536.00
Hunter Greene,CIN,11,11,17,3.94,31,31,0,0,,184,157,86,80,28,61,0,10,220,10.77,3.01,3.58,1.38,0.29,0.225,1.19,0.29,0.74,0.34,,3.90,3.57,3.41,44.189998626708984,836.0000000000002,4.543478260869566,783.00,4.255434782608695,5.44,4.93,4.60,4.33,4.10,3.87,3.65,3.40,3.08,4.81,4.58,4.42,4.29,4.17,4.06,3.94,3.80,3.62,Hunter Greene,22182.00,668881.00
Matthew Boyd,CHC,11,11,17,3.93,31,31,0,0,,183,173,86,80,26,55,1,8,165,8.09,2.71,2.99,1.26,0.21,0.245,1.25,0.29,0.74,0.38,,4.18,2.36,2.80,224.8800048828125,725.6000000000001,3.965027322404372,718.00,3.9234972677595628,5.49,4.98,4.64,4.37,4.13,3.90,3.68,3.43,3.11,4.86,4.63,4.46,4.33,4.21,4.09,3.96,3.83,3.64,Matthew Boyd,15440.00,571510.00
Luis Severino,ATH,10,11,14,4.51,31,31,0,0,,182,188,98,92,27,59,1,10,149,7.34,2.89,2.54,1.32,0.19,0.262,1.35,0.30,0.71,0.42,,4.55,1.88,1.75,432.3800048828125,616.8999999999999,3.3895604395604386,650.00,3.5714285714285716,6.15,5.63,5.28,5.00,4.75,4.52,4.28,4.01,3.67,5.46,5.24,5.08,4.95,4.83,4.71,4.59,4.45,4.27,Luis Severino,15890.00,622663.00
Joe Ryan,MIN,11,10,17,3.83,31,31,0,0,,182,164,83,78,27,44,0,9,199,9.84,2.18,4.52,1.31,0.26,0.234,1.14,0.29,0.73,0.34,,3.71,3.43,3.01,62.560001373291016,827.2999999999998,4.5456043956043946,798.00,4.384615384615385,5.31,4.81,4.48,4.22,3.99,3.77,3.55,3.31,3.00,4.66,4.44,4.30,4.18,4.06,3.96,3.84,3.72,3.55,Joe Ryan,21390.00,657746.00
Tanner Bibee,CLE,10,11,16,4.08,31,31,0,0,,182,175,89,83,26,56,1,8,171,8.46,2.75,3.08,1.26,0.22,0.247,1.27,0.29,0.73,0.40,,4.13,2.34,2.14,176.75,722.00,3.967032967032967,722.00,3.967032967032967,5.64,5.14,4.80,4.53,4.29,4.07,3.84,3.59,3.26,4.97,4.75,4.60,4.48,4.37,4.26,4.14,4.01,3.84,Tanner Bibee,30134.00,676440.00
David Peterson,NYM,12,10,17,3.68,31,31,0,0,,182,175,82,74,19,70,1,8,161,7.94,3.47,2.29,0.92,0.21,0.249,1.35,0.30,0.74,0.52,,3.98,2.34,2.94,355.69000244140625,746.0999999999999,4.099450549450549,751.00,4.126373626373627,5.27,4.78,4.45,4.19,3.96,3.74,3.52,3.28,2.97,4.62,4.41,4.26,4.14,4.03,3.93,3.82,3.69,3.52,David Peterson,20302.00,656849.00
Pablo López,MIN,11,10,17,3.82,31,31,0,0,,182,173,83,77,23,47,1,8,181,8.96,2.32,3.86,1.14,0.24,0.246,1.21,0.30,0.73,0.42,,3.69,3.24,3.01,141.30999755859375,811.1000000000001,4.456593406593408,808.00,4.44,5.36,4.85,4.52,4.26,4.02,3.80,3.58,3.34,3.02,4.71,4.49,4.34,4.22,4.10,3.99,3.88,3.75,3.57,Pablo Lopez,17085.00,641154.00
Luis Castillo,SEA,11,11,16,3.86,31,31,0,0,,181,170,84,78,25,51,1,7,172,8.52,2.53,3.37,1.24,0.23,0.241,1.22,0.29,0.74,0.40,,3.98,2.36,2.03,162.50,759.9000000000001,4.198342541436465,750.00,4.143646408839779,5.39,4.89,4.57,4.30,4.07,3.85,3.63,3.39,3.08,4.72,4.51,4.37,4.25,4.15,4.04,3.94,3.81,3.65,Luis Castillo,15689.00,622491.00
Sonny Gray,BOS,12,10,17,3.68,31,31,0,0,,181,171,81,74,21,48,1,6,190,9.42,2.37,3.98,1.05,0.25,0.243,1.21,0.30,0.73,0.45,,3.45,3.87,3.47,112.94000244140625,854.5000000000001,4.720994475138122,850.00,4.696132596685083,5.21,4.72,4.39,4.13,3.90,3.69,3.47,3.23,2.93,4.55,4.35,4.21,4.09,3.98,3.88,3.77,3.65,3.48,Sonny Gray,12768.00,543243.00
Jesús Luzardo,PHI,12,10,17,3.57,31,31,0,0,,181,159,78,72,23,57,1,6,199,9.89,2.83,3.50,1.16,0.26,0.231,1.19,0.29,0.75,0.40,,3.65,3.51,3.82,70.19000244140625,852.10,4.707734806629834,815.00,4.502762430939226,5.07,4.58,4.25,4.00,3.77,3.56,3.34,3.10,2.80,4.43,4.22,4.08,3.96,3.85,3.74,3.63,3.51,3.34,Jesus Luzardo,19959.00,666200.00
Aaron Nola,PHI,11,10,16,3.99,31,31,0,0,,181,175,86,80,27,46,1,6,176,8.76,2.30,3.81,1.32,0.23,0.248,1.22,0.29,0.73,0.42,,3.96,2.95,2.97,212.8800048828125,748.3000000000002,4.13,750.00,4.143646408839779,5.55,5.05,4.71,4.44,4.20,3.98,3.75,3.50,3.19,4.88,4.67,4.52,4.39,4.28,4.17,4.06,3.93,3.76,Aaron Nola,16149.00,605400.00
Mitch Keller,PIT,10,12,15,4.35,31,31,0,0,,180,182,94,87,23,55,1,10,156,7.79,2.74,2.84,1.15,0.20,0.258,1.32,0.30,0.70,0.43,,4.15,2.30,2.10,345.3800048828125,692.8999999999999,3.8494444444444436,718.00,3.988888888888889,5.96,5.45,5.11,4.83,4.58,4.35,4.12,3.86,3.52,5.26,5.05,4.90,4.77,4.66,4.55,4.44,4.31,4.13,Mitch Keller,17594.00,656605.00
Robbie Ray,SFG,10,11,15,4.20,31,31,0,0,,180,167,90,84,26,69,0,7,187,9.37,3.44,2.73,1.29,0.24,0.239,1.31,0.29,0.73,0.36,,4.18,1.58,1.86,145.25,724.00,4.022222222222222,708.00,3.933333333333333,5.80,5.27,4.92,4.64,4.40,4.16,3.93,3.67,3.33,5.15,4.90,4.74,4.60,4.47,4.35,4.22,4.08,3.89,Robbie Ray,11486.00,592662.00
George Kirby,SEA,12,10,17,3.50,31,31,0,0,,178,165,75,69,22,34,0,7,174,8.79,1.70,5.16,1.12,0.24,0.239,1.12,0.29,0.74,0.42,,3.48,3.16,2.86,65.69000244140625,842.5999999999999,4.7337078651685385,829.00,4.657303370786517,4.99,4.51,4.19,3.93,3.71,3.50,3.28,3.05,2.75,4.35,4.15,4.01,3.89,3.79,3.69,3.58,3.46,3.30,George Kirby,25436.00,669923.00
Yusei Kikuchi,LAA,10,11,15,4.10,31,31,0,0,,178,165,87,81,26,63,1,5,182,9.20,3.18,2.89,1.34,0.24,0.243,1.28,0.30,0.74,0.41,,4.17,2.53,2.45,346.25,728.4000000000001,4.092134831460674,712.00,4.00,5.66,5.15,4.81,4.54,4.30,4.07,3.84,3.59,3.27,4.97,4.76,4.61,4.49,4.38,4.27,4.16,4.03,3.86,Yusei Kikuchi,20633.00,579328.00
Freddy Peralta,MIL,11,10,16,3.91,31,31,0,0,,178,154,83,77,25,66,1,8,200,10.12,3.32,3.05,1.26,0.27,0.227,1.23,0.28,0.74,0.37,,3.95,2.95,2.84,62.880001068115234,787.3000000000001,4.423033707865169,743.00,4.174157303370786,5.43,4.93,4.60,4.33,4.09,3.87,3.65,3.40,3.09,4.75,4.55,4.40,4.28,4.17,4.07,3.96,3.83,3.66,Freddy Peralta,18679.00,642547.00
Zack Littell,,10,12,13,4.54,31,31,0,0,,177,190,96,90,29,38,1,7,135,6.83,1.91,3.58,1.49,0.18,0.268,1.28,0.29,0.71,0.39,,4.53,1.74,1.42,429.30999755859375,594.0999999999999,3.3564971751412425,643.00,3.632768361581921,6.18,5.65,5.30,5.01,4.76,4.52,4.28,4.01,3.66,5.48,5.25,5.09,4.96,4.84,4.72,4.59,4.45,4.26,Zack Littell,15823.00,641793.00
Gavin Williams,CLE,10,11,15,4.07,31,31,0,0,,177,163,87,80,23,77,1,6,180,9.16,3.88,2.36,1.15,0.24,0.240,1.35,0.30,0.74,0.42,,4.16,1.99,2.04,144.30999755859375,714.1000000000001,4.034463276836159,697.00,3.937853107344633,5.68,5.16,4.81,4.53,4.29,4.06,3.82,3.57,3.24,5.02,4.78,4.62,4.49,4.37,4.25,4.13,3.99,3.80,Gavin Williams,30122.00,668909.00
José Soriano,LAA,11,11,16,3.65,31,31,0,0,,177,168,80,72,15,75,1,9,165,8.36,3.83,2.19,0.76,0.22,0.250,1.38,0.31,0.74,0.57,,3.79,3.01,3.12,342.75,766.50,4.330508474576271,768.00,4.338983050847458,5.29,4.78,4.45,4.18,3.94,3.72,3.49,3.25,2.93,4.65,4.43,4.27,4.14,4.02,3.91,3.79,3.65,3.47,Jose Soriano,22100.00,667755.00
Brandon Pfaadt,ARI,10,11,14,4.33,31,31,0,0,,176,183,91,85,25,42,1,7,152,7.80,2.15,3.64,1.28,0.20,0.263,1.28,0.30,0.71,0.41,,4.09,1.89,2.03,377.94000244140625,676.1000000000001,3.8414772727272735,712.00,4.045454545454546,5.95,5.43,5.08,4.80,4.55,4.32,4.08,3.82,3.48,5.25,5.03,4.88,4.75,4.63,4.52,4.40,4.27,4.09,Brandon Pfaadt,27782.00,694297.00
Michael King,SDP,11,10,16,3.79,31,31,0,0,,176,158,80,74,23,61,1,7,182,9.33,3.11,3.01,1.18,0.25,0.235,1.24,0.29,0.74,0.40,,3.92,3.06,2.80,139.25,768.70,4.367613636363637,741.00,4.2102272727272725,5.37,4.85,4.51,4.23,3.99,3.77,3.54,3.29,2.97,4.73,4.49,4.33,4.19,4.07,3.95,3.83,3.69,3.51,Michael King,19853.00,650633.00
Brady Singer,CIN,10,11,14,4.39,31,31,0,0,,176,178,92,86,26,56,0,10,164,8.40,2.87,2.93,1.36,0.22,0.257,1.33,0.30,0.72,0.44,,4.35,2.29,2.28,324.3800048828125,649.8000000000002,3.6920454545454557,672.00,3.8181818181818183,6.04,5.51,5.16,4.88,4.63,4.40,4.16,3.89,3.56,5.32,5.11,4.95,4.83,4.71,4.60,4.48,4.35,4.17,Brady Singer,25377.00,663903.00
Clay Holmes,NYM,11,10,15,3.91,31,31,0,0,,176,173,84,76,16,71,1,10,146,7.50,3.62,2.07,0.84,0.19,0.255,1.39,0.30,0.72,0.54,,4.07,2.14,2.33,344.3800048828125,704.8000000000002,4.004545454545456,721.00,4.096590909090909,5.60,5.07,4.73,4.45,4.21,3.97,3.74,3.48,3.16,4.94,4.71,4.54,4.41,4.28,4.17,4.04,3.90,3.71,Clay Holmes,13649.00,605280.00
MacKenzie Gore,WSN,11,11,16,3.76,31,31,0,0,,176,153,79,73,22,67,0,7,193,9.89,3.41,2.90,1.13,0.26,0.230,1.25,0.29,0.74,0.39,,3.83,2.93,3.32,196.8800048828125,798.0000000000002,4.53,758.00,4.306818181818182,5.29,4.79,4.46,4.19,3.96,3.74,3.51,3.27,2.96,4.63,4.42,4.27,4.15,4.04,3.93,3.82,3.69,3.52,MacKenzie Gore,22201.00,669022.00
Jeffrey Springs,ATH,10,11,13,4.63,31,31,0,0,,175,179,96,90,29,56,0,5,150,7.70,2.87,2.68,1.51,0.20,0.258,1.34,0.29,0.72,0.36,,4.65,1.86,1.51,425.30999755859375,589.90,3.3708571428571426,615.00,3.5142857142857142,6.30,5.75,5.38,5.09,4.83,4.58,4.33,4.05,3.70,5.62,5.36,5.18,5.04,4.90,4.77,4.64,4.49,4.28,Jeffrey Springs,17677.00,605488.00
Ryan Pepiot,TBR,10,11,14,4.26,31,31,0,0,,175,164,88,83,27,63,0,8,179,9.22,3.23,2.86,1.41,0.24,0.242,1.29,0.29,0.73,0.37,,4.33,2.08,2.01,141.3800048828125,681.5000000000001,3.894285714285715,669.00,3.822857142857143,5.87,5.34,4.98,4.70,4.45,4.21,3.97,3.71,3.37,5.19,4.95,4.79,4.65,4.53,4.41,4.28,4.14,3.95,Ryan Pepiot,26221.00,686752.00
Trevor Rogers,BAL,11,10,15,4.18,29,29,0,0,,175,176,88,81,22,59,1,6,149,7.66,3.04,2.52,1.16,0.20,0.257,1.34,0.30,0.72,0.44,,4.22,2.24,1.83,162.00,669.8000000000001,3.827428571428572,692.00,3.954285714285714,5.84,5.30,4.95,4.67,4.42,4.18,3.94,3.68,3.34,5.16,4.92,4.76,4.62,4.50,4.37,4.25,4.10,3.91,Trevor Rogers,22286.00,669432.00
Nathan Eovaldi,TEX,11,9,17,3.60,29,29,0,0,,175,163,76,70,20,44,1,7,171,8.84,2.29,3.85,1.05,0.24,0.243,1.19,0.30,0.73,0.46,,3.57,3.39,3.16,146.75,814.20,4.652571428571429,804.00,4.594285714285714,5.14,4.64,4.31,4.05,3.82,3.60,3.38,3.14,2.83,4.49,4.28,4.13,4.01,3.90,3.79,3.68,3.55,3.38,Nathan Eovaldi,9132.00,543135.00
Cole Ragans,KCR,12,9,18,3.23,29,29,0,0,,172,139,67,62,18,62,1,6,211,11.02,3.25,3.39,0.93,0.30,0.216,1.17,0.29,0.76,0.40,,3.22,4.25,4.34,50.38,907.9999999999999,5.28,844.00,4.906976744186046,4.70,4.20,3.88,3.63,3.40,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.60,3.48,3.37,3.26,3.13,2.96,Cole Ragans,21846.00,666142.00
Shota Imanaga,CHC,10,10,15,4.12,29,29,0,0,,171,168,84,78,30,37,0,5,156,8.17,1.96,4.16,1.55,0.22,0.250,1.20,0.28,0.74,0.33,,4.30,2.16,2.23,169.50,645.6000000000001,3.7754385964912287,651.00,3.807017543859649,5.68,5.16,4.81,4.53,4.29,4.05,3.82,3.56,3.23,4.99,4.77,4.61,4.48,4.37,4.25,4.14,4.00,3.82,Shota Imanaga,33829.00,684007.00
Drew Rasmussen,TBR,10,11,15,3.92,31,31,0,0,,171,170,81,74,21,45,1,6,156,8.23,2.36,3.49,1.13,0.22,0.254,1.25,0.30,0.72,0.47,,3.83,2.84,2.48,148.00,724.1000000000001,4.234502923976609,741.00,4.333333333333333,5.57,5.03,4.68,4.40,4.15,3.91,3.68,3.42,3.09,4.92,4.67,4.50,4.36,4.23,4.10,3.98,3.83,3.64,Drew Rasmussen,25385.00,656876.00
Jameson Taillon,CHC,9,11,13,4.54,29,29,0,0,,171,179,92,86,28,42,0,5,133,7.02,2.19,3.21,1.48,0.18,0.264,1.29,0.29,0.71,0.38,,4.53,1.68,1.42,312.55999755859375,580.60,3.3953216374269006,616.00,3.6023391812865495,6.19,5.65,5.29,5.00,4.75,4.51,4.26,3.99,3.64,5.47,5.24,5.08,4.95,4.83,4.71,4.59,4.45,4.26,Jameson Taillon,11674.00,592791.00
Michael Wacha,KCR,10,11,14,4.39,29,29,0,0,,170,174,89,83,24,50,0,6,135,7.15,2.64,2.70,1.27,0.19,0.260,1.32,0.29,0.71,0.38,,4.36,2.16,1.88,358.50,612.40,3.6023529411764703,640.00,3.764705882352941,6.03,5.49,5.14,4.85,4.60,4.36,4.12,3.85,3.51,5.31,5.08,4.93,4.80,4.68,4.57,4.45,4.31,4.13,Michael Wacha,14078.00,608379.00
Quinn Priester,MIL,10,11,14,4.14,29,29,0,0,,169,172,85,78,20,58,0,7,138,7.33,3.10,2.37,1.07,0.19,0.261,1.36,0.30,0.72,0.51,,4.20,1.87,2.05,282.94000244140625,638.4000000000001,3.777514792899409,666.00,3.940828402366864,5.84,5.31,4.95,4.67,4.41,4.18,3.94,3.67,3.33,5.15,4.91,4.75,4.62,4.50,4.38,4.25,4.11,3.93,Quinn Priester,25977.00,682990.00
Ranger Suárez,,11,9,16,3.55,29,29,0,0,,169,162,73,67,18,48,1,6,154,8.23,2.55,3.23,0.95,0.22,0.248,1.24,0.30,0.74,0.48,,3.62,3.26,3.29,169.50,754.00,4.461538461538462,757.00,4.479289940828402,5.12,4.62,4.29,4.03,3.79,3.57,3.35,3.11,2.81,4.44,4.24,4.10,3.98,3.88,3.77,3.67,3.54,3.38,Ranger Suarez,17277.00,624133.00
Chris Sale,ATL,12,7,18,3.19,28,28,0,0,,169,140,65,60,18,44,1,9,205,10.97,2.36,4.64,0.97,0.30,0.221,1.09,0.30,0.75,0.42,,3.03,4.15,4.32,33.50,916.20,5.4213017751479295,862.00,5.100591715976331,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,Chris Sale,10603.00,519242.00
Shane Smith,CHW,9,11,13,4.38,29,29,0,0,,168,163,88,82,24,65,1,10,153,8.20,3.47,2.36,1.27,0.21,0.250,1.35,0.29,0.72,0.42,,4.47,1.78,1.63,274.69000244140625,605.20,3.6023809523809525,609.00,3.63,6.09,5.53,5.16,4.86,4.60,4.35,4.10,3.82,3.47,5.41,5.15,4.97,4.81,4.68,4.55,4.41,4.25,4.04,Shane Smith,31687.00,681343.00
Shane Baz,BAL,10,10,14,4.27,29,29,0,0,,168,161,86,80,24,61,0,8,165,8.83,3.28,2.69,1.28,0.23,0.248,1.32,0.30,0.72,0.42,,4.25,1.96,1.60,186.1300048828125,652.40,3.8833333333333333,651.00,3.88,5.94,5.40,5.03,4.74,4.49,4.24,4.00,3.73,3.39,5.26,5.01,4.84,4.70,4.57,4.44,4.31,4.17,3.97,Shane Baz,22264.00,669358.00
Brayan Bello,BOS,9,11,13,4.39,29,29,0,0,,168,176,89,82,20,59,0,9,140,7.50,3.16,2.37,1.06,0.19,0.266,1.40,0.31,0.70,0.50,,4.21,1.97,1.82,337.3800048828125,615.60,3.6642857142857146,656.00,3.9047619047619047,6.10,5.57,5.21,4.92,4.66,4.42,4.18,3.91,3.56,5.37,5.15,4.99,4.86,4.75,4.63,4.51,4.38,4.19,Brayan Bello,23920.00,678394.00
Andrew Abbott,CIN,9,11,13,4.57,29,29,0,0,,168,167,90,85,30,54,1,5,155,8.31,2.90,2.87,1.59,0.22,0.253,1.32,0.29,0.73,0.33,,4.63,2.02,1.97,214.3800048828125,573.00,3.4107142857142856,583.00,3.4702380952380953,6.21,5.67,5.30,5.01,4.75,4.51,4.26,3.98,3.63,5.49,5.26,5.09,4.96,4.83,4.71,4.59,4.45,4.25,Andrew Abbott,29911.00,671096.00
Spencer Schwellenbach,ATL,11,8,16,3.65,28,28,0,0,,167,159,74,68,20,38,1,6,163,8.78,2.07,4.25,1.09,0.24,0.247,1.18,0.30,0.73,0.45,,3.55,2.98,3.18,80.44000244140625,770.40,4.613173652694611,769.00,4.604790419161676,5.25,4.72,4.38,4.10,3.85,3.63,3.40,3.15,2.83,4.61,4.37,4.20,4.06,3.94,3.82,3.69,3.55,3.37,Spencer Schwellenbach,31846.00,680885.00
Logan Gilbert,SEA,11,9,16,3.39,29,29,0,0,,166,144,68,63,21,39,1,6,182,9.84,2.09,4.70,1.13,0.27,0.228,1.10,0.29,0.75,0.40,,3.39,3.17,2.90,39.310001373291016,824.7000000000002,4.968072289156628,786.00,4.734939759036145,4.87,4.38,4.05,3.79,3.57,3.36,3.14,2.91,2.62,4.20,4.00,3.87,3.75,3.65,3.55,3.45,3.33,3.18,Logan Gilbert,22250.00,669302.00
Ryne Nelson,ARI,10,10,13,4.39,29,29,0,0,,166,173,87,81,23,48,1,6,136,7.41,2.60,2.85,1.25,0.19,0.263,1.33,0.30,0.71,0.39,,4.26,1.55,1.80,259.25,605.70,3.648795180722892,641.00,3.86,6.05,5.51,5.15,4.86,4.60,4.36,4.11,3.84,3.49,5.33,5.10,4.94,4.80,4.68,4.56,4.44,4.30,4.11,Ryne Nelson,26253.00,669194.00
Jack Flaherty,DET,10,10,14,3.91,29,29,0,0,,166,152,78,72,22,58,1,7,179,9.72,3.16,3.07,1.19,0.25,0.236,1.27,0.29,0.74,0.40,,3.87,2.61,2.37,214.75,725.6000000000001,4.371084337349399,707.00,4.259036144578313,5.50,4.98,4.64,4.36,4.12,3.89,3.66,3.40,3.08,4.80,4.58,4.44,4.31,4.20,4.09,3.98,3.85,3.68,Jack Flaherty,17479.00,656427.00
