Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Daniel Lynch IV,KCR,3,3,0,4.15,59,0,0,11,,59,61,29,27,7,18,2,3,46,7.08,2.77,2.55,1.11,0.18,0.262,1.34,0.30,0.72,0.43,,4.21,0.17,0.25,999.00,264.90,4.489830508474576,277.00,4.694915254237288,6.55,5.64,5.06,4.62,4.24,3.89,3.55,3.18,2.74,5.16,4.91,4.73,4.59,4.46,4.33,4.20,4.05,3.86,Daniel Lynch IV,21537.00,663738.00
Drew Pomeranz,LAA,3,3,0,3.72,58,0,4,11,,58,51,26,24,8,21,2,3,63,9.80,3.20,3.06,1.17,0.26,0.232,1.24,0.29,0.75,0.39,,3.86,0.51,0.46,711.8099975585938,316.20000000000005,5.451724137931035,304.00,5.241379310344827,6.04,5.12,4.55,4.11,3.74,3.40,3.07,2.73,2.32,4.80,4.50,4.29,4.12,3.97,3.82,3.67,3.50,3.27,Drew Pomeranz,11426.00,519141.00
Drey Jameson,ARI,3,3,0,3.87,58,0,1,12,,58,55,27,25,6,22,1,2,58,8.93,3.37,2.65,0.96,0.23,0.246,1.32,0.31,0.73,0.45,,3.77,0.24,0.39,695.8800048828125,309.40000000000003,5.33,309.00,5.327586206896552,6.26,5.34,4.75,4.31,3.93,3.58,3.24,2.89,2.46,5.00,4.69,4.48,4.31,4.15,4.00,3.85,3.67,3.45,Drey Jameson,26260.00,686753.00
Tommy Nance,TOR,3,3,0,3.83,58,0,0,12,,58,56,27,25,6,19,2,3,53,8.29,2.87,2.88,0.97,0.22,0.250,1.29,0.30,0.73,0.49,,3.79,0.34,0.24,999.00,297.80000000000007,5.134482758620691,300.00,5.172413793103448,6.22,5.31,4.73,4.29,3.91,3.57,3.24,2.89,2.46,4.93,4.64,4.45,4.29,4.14,4.00,3.86,3.69,3.48,Tommy Nance,19178.00,667297.00
Jordan Hicks,BOS,3,3,0,3.97,58,0,0,12,,58,56,28,26,6,23,1,3,55,8.48,3.63,2.33,0.89,0.22,0.252,1.37,0.31,0.72,0.51,,3.92,0.29,0.32,999.00,289.80000000000007,4.996551724137932,292.00,5.0344827586206895,6.38,5.47,4.89,4.45,4.07,3.72,3.39,3.03,2.60,5.01,4.75,4.58,4.43,4.30,4.17,4.04,3.89,3.69,Jordan Hicks,19618.00,663855.00
Connor Phillips,CIN,3,3,0,4.38,58,0,1,12,,58,53,30,28,8,27,1,3,62,9.63,4.24,2.27,1.31,0.25,0.238,1.39,0.29,0.73,0.39,,4.47,0.03,0.20,596.8099975585938,280.00000000000006,4.8275862068965525,273.00,4.706896551724138,6.82,5.88,5.28,4.82,4.43,4.06,3.71,3.33,2.87,5.43,5.15,4.96,4.79,4.65,4.51,4.36,4.20,3.98,Connor Phillips,27649.00,683175.00
Brenan Hanifee,DET,3,3,0,3.89,58,0,0,11,,58,61,27,25,6,16,1,2,44,6.76,2.51,2.69,0.91,0.18,0.265,1.32,0.30,0.72,0.51,,3.90,0.25,0.27,999.00,274.80000000000007,4.737931034482759,290.00,5.00,6.31,5.40,4.82,4.38,4.00,3.66,3.32,2.96,2.53,4.98,4.71,4.52,4.37,4.23,4.09,3.95,3.80,3.59,Brenan Hanifee,22304.00,669724.00
Joel Payamps,ATL,3,3,0,4.14,58,0,0,12,,58,57,29,27,8,19,2,2,53,8.24,2.96,2.79,1.19,0.21,0.253,1.32,0.30,0.72,0.41,,4.13,0.05,0.18,999.00,273.6000000000001,4.717241379310346,277.00,4.775862068965517,6.55,5.62,5.04,4.58,4.20,3.84,3.50,3.13,2.69,5.20,4.92,4.73,4.57,4.42,4.28,4.14,3.98,3.76,Joel Payamps,14332.00,606303.00
Matt Festa,CLE,3,3,0,4.15,58,0,0,12,,58,54,29,27,8,22,1,3,55,8.53,3.38,2.53,1.20,0.22,0.243,1.31,0.29,0.73,0.40,,4.24,0.05,0.04,749.6900024414062,273.4000000000001,4.713793103448277,269.00,4.637931034482759,6.55,5.62,5.04,4.58,4.20,3.84,3.50,3.13,2.69,5.21,4.92,4.73,4.57,4.42,4.28,4.14,3.97,3.76,Matt Festa,19330.00,670036.00
Elvis Alvarado,ATH,3,3,0,4.33,58,0,3,10,,58,53,30,28,8,29,2,3,58,8.94,4.45,2.01,1.18,0.23,0.241,1.41,0.29,0.73,0.40,,4.48,0.06,0.10,737.9400024414062,268.00000000000006,4.620689655172415,261.00,4.50,6.79,5.84,5.24,4.78,4.38,4.02,3.67,3.29,2.83,5.45,5.14,4.93,4.76,4.61,4.46,4.30,4.13,3.90,Elvis Alvarado,21662.00,665660.00
